iter	MAE	RMSE
119	2928.592782	4136.031956
120	2925.158404	4132.25614
121	2921.400861	4127.823974
122	2918.512876	4124.330949
123	2913.414668	4117.953522
124	2910.780201	4114.211116
125	2908.185103	4110.689431
126	2905.269362	4106.872426
127	2902.329105	4102.951091
128	2898.2921	4098.925608
129	2892.690641	4092.43566
130	2890.871605	4089.983979
131	2888.635347	4086.351847
132	2886.92744	4083.316822
133	2884.373011	4079.105583
134	2882.240537	4076.15999
135	2879.340616	4072.885418
136	2876.004138	4069.130657
137	2872.648454	4065.144272
138	2869.077197	4060.415028
139	2866.365179	4057.043907
140	2864.397361	4054.123387
141	2861.977991	4050.634577
142	2859.337982	4047.34559
143	2856.290526	4043.640549
144	2851.87564	4039.629469
145	2848.660223	4035.695872
146	2846.733514	4032.604797
147	2844.689587	4030.2157
148	2839.66321	4024.365266
149	2835.792701	4019.237299
150	2832.60433	4015.267928
151	2831.156427	4013.635177
152	2829.41666	4011.056453
153	2827.158251	4008.140898
154	2824.490169	4005.169289
155	2821.968418	4001.546696
156	2819.015479	3998.40805
157	2817.606314	3996.508778
158	2815.992343	3993.968348
159	2814.666718	3991.788318
160	2812.580196	3988.916024
161	2810.880092	3986.303176
162	2808.452324	3983.677435
163	2805.715555	3979.608191
164	2804.236253	3977.141349
165	2801.020408	3972.251337
166	2797.466326	3968.069166
167	2796.019603	3965.520433
168	2793.169496	3961.600631
169	2792.804597	3960.697116
170	2789.410717	3956.237094
171	2788.026588	3953.83752
172	2786.395546	3951.703363
173	2783.492536	3948.742254
174	2780.075733	3943.844591
175	2776.682363	3940.047851
176	2775.70942	3938.365226
177	2773.884915	3935.44309
178	2771.588263	3932.687257
179	2769.683138	3930.311969
180	2767.80478	3927.805849
181	2765.409201	3924.436418
182	2761.773845	3920.31717
183	2761.18717	3919.209935
184	2756.575186	3913.414469
185	2754.895256	3910.800948
186	2752.712285	3907.923321
187	2750.94315	3905.834937
188	2749.461461	3903.771021
189	2746.231661	3900.352694
190	2743.72197	3897.280202
191	2742.918223	3895.252336
192	2742.607409	3894.301919
193	2740.688764	3891.796087
194	2738.160289	3888.619364
195	2735.808181	3886.049593
196	2735.188172	3884.856344
197	2733.122186	3881.084733
198	2731.316038	3878.711961
199	2727.413168	3872.866522
200	2726.293162	3871.144858
201	2723.604337	3866.753669
202	2720.691258	3862.488811
203	2720.421463	3861.467483
204	2718.552274	3859.226804
205	2716.855912	3856.836795
206	2714.816367	3854.022565
207	2712.559853	3850.697735
208	2710.668545	3848.417015
209	2709.280916	3846.479289
210	2707.880133	3844.010032
211	2706.546166	3842.070892
212	2704.65425	3839.910401
213	2702.865294	3837.718052
214	2701.27181	3835.073403
215	2697.944816	3830.930713
216	2696.442848	3829.019282
217	2696.341108	3828.60989
218	2694.697988	3826.421994
219	2693.307418	3823.993869
220	2693.023627	3822.952656
221	2692.155366	3821.401163
222	2687.828348	3817.45622
223	2685.943466	3815.347295
224	2682.816228	3810.920847
225	2680.662648	3807.841598
226	2678.582231	3805.293297
227	2675.142761	3800.619199
228	2673.441802	3798.535064
229	2671.747325	3796.191864
230	2669.782286	3794.139444
231	2668.311245	3791.780175
232	2667.926176	3790.660553
233	2667.161505	3788.91723
234	2665.439612	3786.996753
235	2664.696607	3785.524937
236	2664.265391	3784.509954
237	2662.233444	3782.096592
238	2662.066997	3781.39945
239	2661.423619	3780.112467
240	2657.422828	3775.430341
241	2656.253507	3773.753733
242	2654.8304	3771.00869
243	2652.174472	3767.809897
244	2650.453982	3765.906609
245	2650.244365	3765.128099
246	2648.81272	3763.190464
247	2644.791465	3758.39158
248	2644.521391	3757.479169
249	2641.199628	3753.195517
250	2639.271839	3751.1628
251	2637.408558	3748.504068
252	2632.772158	3743.989692
253	2632.620556	3743.448028
254	2631.286738	3741.405628
255	2630.227129	3739.484525
256	2628.418312	3736.846467
257	2627.754765	3735.571465
258	2624.954394	3732.901496
259	2623.202126	3730.556529
260	2620.221668	3725.748219
261	2618.51254	3723.076961
262	2617.982149	3721.999613
263	2616.160258	3719.658953
264	2614.304646	3717.349816
265	2612.561838	3715.560375
266	2610.714437	3713.409556
267	2609.192826	3711.301458
268	2606.297474	3708.437434
269	2604.69149	3706.78139
270	2603.728344	3705.388529
271	2602.82738	3703.868384
272	2600.503747	3701.205665
273	2598.647947	3698.590467
274	2597.267843	3696.705832
275	2595.963574	3694.40502
276	2595.237499	3693.049454
277	2594.005429	3691.621146
278	2592.017322	3689.469181
279	2589.992985	3687.37395
280	2589.499378	3686.402637
281	2587.631834	3684.059751
282	2587.160708	3683.119483
283	2584.811476	3680.041664
284	2583.091561	3677.630968
285	2581.80155	3675.851539
286	2578.397285	3672.099603
287	2578.264303	3671.666853
288	2577.012819	3669.383712
289	2575.757661	3667.122457
290	2575.614009	3666.637036
291	2574.515456	3664.85623
292	2571.858635	3660.444324
293	2570.772345	3658.744882
294	2570.674907	3658.440989
295	2568.875583	3655.808701
296	2567.266001	3653.714302
297	2565.532272	3651.290954
298	2564.225736	3649.466514
299	2563.498486	3648.333039
300	2561.878544	3646.388609
301	2560.911187	3644.402856
302	2559.285563	3642.667528
303	2558.325632	3641.108658
304	2556.249356	3637.799981
305	2555.750607	3636.697015
306	2555.341843	3635.612374
307	2554.269819	3634.247865
308	2553.33135	3632.884988
309	2552.276242	3631.359138
310	2551.64116	3630.311201
311	2549.793318	3627.992071
312	2547.087473	3623.141245
313	2544.555126	3620.657622
314	2542.948432	3618.297143
315	2540.048127	3615.732749
316	2539.395238	3614.588589
317	2538.335542	3612.64388
318	2537.997896	3611.621329
319	2537.399719	3610.448111
320	2535.28937	3608.201548
321	2534.021841	3605.988106
322	2531.727813	3603.893659
323	2530.755511	3602.22134
324	2528.957671	3599.510698
325	2528.888969	3599.253061
326	2527.46029	3597.307565
327	2525.724403	3595.133148
328	2523.405391	3591.514879
329	2521.089021	3588.646558
330	2519.283457	3585.675547
331	2517.899962	3583.747425
332	2517.320401	3582.455718
333	2515.971567	3580.616546
334	2514.036545	3578.353812
335	2512.913348	3576.679555
336	2511.438989	3574.921723
337	2509.727523	3572.604138
338	2507.152134	3569.781249
339	2505.878392	3568.21782
340	2504.88553	3566.463025
341	2503.334221	3564.199732
342	2501.702875	3562.397295
343	2500.513106	3560.226574
344	2498.838269	3558.187393
345	2498.400303	3557.244409
346	2497.700086	3556.100792
347	2496.174637	3553.904413
348	2495.605489	3552.90251
349	2494.621251	3551.719567
350	2494.504812	3551.351719
351	2494.309877	3550.743087
352	2493.465888	3549.264604
353	2493.061374	3548.472035
354	2492.196768	3547.02564
355	2491.136437	3545.921614
356	2489.44647	3543.334189
357	2487.864307	3541.35828
358	2487.079968	3540.102353
359	2485.328743	3537.793777
360	2484.117615	3535.846487
361	2482.73343	3534.552981
362	2482.239774	3533.613151
363	2481.185828	3532.03937
364	2479.701058	3529.38326
365	2477.960963	3526.403007
366	2475.634408	3523.890173
367	2474.295129	3522.3041
368	2473.190031	3520.683152
369	2472.450182	3519.521456
370	2470.562465	3517.235154
371	2469.25278	3515.51459
372	2469.152251	3515.195853
373	2467.435958	3512.788626
374	2464.497513	3509.922063
375	2464.40844	3509.620025
376	2462.953487	3508.380131
377	2462.041931	3507.262967
378	2460.040522	3505.159316
379	2457.737011	3502.817367
380	2455.716047	3499.117264
381	2455.034685	3498.144463
382	2454.359371	3496.802815
383	2452.535993	3494.681316
384	2452.046366	3493.856385
385	2451.082877	3492.469964
386	2449.966682	3491.436474
387	2447.185553	3487.483633
388	2446.337773	3486.085723
389	2445.25753	3484.406224
390	2444.143255	3482.934092
391	2443.130951	3481.544608
392	2441.240047	3478.889072
393	2440.15988	3477.4292
394	2439.562689	3476.208341
395	2438.789681	3474.945148
396	2438.110619	3473.887614
397	2436.982259	3472.300637
398	2435.170938	3470.360263
399	2434.995211	3469.867968
400	2434.127541	3468.678364
401	2432.994182	3466.841889
402	2432.090118	3464.613674
403	2431.19072	3463.209663
404	2428.291347	3459.408325
405	2427.794378	3458.242549
406	2425.92848	3455.318771
407	2424.555021	3453.464222
408	2422.920735	3451.398876
409	2422.464428	3450.469791
410	2421.01079	3447.997268
411	2419.466297	3445.437291
412	2419.048982	3444.654078
413	2418.03792	3442.866547
414	2417.854	3442.306365
415	2417.280102	3441.365566
416	2416.140339	3438.783459
417	2414.539713	3436.277971
418	2412.660825	3434.493134
419	2411.035388	3432.136356
420	2409.666665	3430.058995
421	2408.855553	3428.915155
422	2406.974059	3426.863983
423	2405.193347	3424.510223
424	2404.771063	3423.786399
425	2403.397461	3421.874401
426	2402.47086	3420.450978
427	2401.915135	3419.701201
428	2400.070786	3417.410908
429	2398.851486	3415.477613
430	2398.51264	3414.609045
431	2396.987797	3412.523139
432	2395.343144	3410.342533
433	2394.505992	3409.417941
434	2393.375369	3407.408199
435	2392.603374	3406.491913
436	2391.748107	3404.874417
437	2391.420498	3404.101295
438	2390.122511	3401.567006
439	2389.366719	3400.511645
440	2388.125839	3399.233146
441	2385.925	3395.516757
442	2384.164423	3393.641506
443	2383.653306	3392.679367
444	2382.845456	3391.392155
445	2381.240288	3389.596363
446	2380.09879	3388.162349
447	2379.054951	3386.030721
448	2378.631809	3385.291582
449	2378.485516	3384.825343
450	2377.426714	3382.340038
451	2375.656547	3380.171252
452	2375.242624	3379.332175
453	2374.570576	3378.295908
454	2373.317481	3376.571876
455	2371.752866	3374.380908
456	2370.806532	3373.054235
457	2370.174951	3371.800705
458	2369.059495	3370.116551
459	2367.406004	3368.20302
460	2367.109835	3367.490904
461	2366.062953	3366.076074
462	2364.89007	3364.665033
463	2363.975517	3362.769749
464	2363.164559	3361.640866
465	2362.943997	3361.101099
466	2361.84966	3358.896352
467	2360.033307	3356.837397
468	2358.725164	3354.891424
469	2357.285035	3352.873656
470	2356.579337	3351.7655
471	2356.484473	3351.397507
472	2355.488401	3350.099023
473	2354.329478	3348.784936
474	2353.922155	3348.144651
475	2352.79176	3346.253019
476	2351.62691	3345.093704
477	2350.936655	3344.242131
478	2350.551354	3343.463124
479	2349.768735	3342.020729
480	2349.54869	3341.563763
481	2348.254982	3339.514161
482	2346.330725	3337.086525
483	2345.334422	3335.748048
484	2344.384808	3334.756985
485	2343.254884	3332.201087
486	2342.746297	3331.481205
487	2341.879553	3330.261898
488	2341.28388	3329.082799
489	2339.591972	3327.088272
490	2338.823581	3325.867613
491	2337.306048	3323.008963
492	2336.233295	3321.610631
493	2335.203562	3320.034821
494	2334.155071	3318.205564
495	2333.369857	3317.262326
496	2332.580805	3316.301748
497	2332.255604	3315.556587
498	2332.117279	3315.120326
499	2331.36193	3313.827373
500	2330.74225	3312.624633
501	2329.157559	3310.331829
502	2328.290359	3308.82281
503	2327.327173	3307.60033
504	2327.223466	3307.257098
505	2326.570128	3306.020049
506	2325.69081	3304.851378
507	2323.643105	3302.644746
508	2322.775584	3301.521322
509	2322.083044	3300.136861
510	2321.512256	3299.234194
511	2320.461421	3297.932183
512	2318.958874	3296.146638
513	2318.281588	3294.942669
514	2315.907389	3292.611386
515	2314.72324	3290.722764
516	2313.363758	3288.761533
517	2312.632538	3287.764535
518	2312.033989	3286.925725
519	2311.53021	3286.102896
520	2310.753181	3284.837939
521	2309.900608	3283.80257
522	2309.555154	3283.170176
523	2308.575367	3282.258479
524	2307.894001	3281.081431
525	2307.520632	3280.470947
526	2306.890579	3279.559802
527	2306.058726	3278.187119
528	2304.53377	3276.151942
529	2303.739316	3274.996648
530	2302.817685	3273.513059
531	2301.780113	3271.449468
532	2301.705089	3271.162376
533	2299.968589	3268.283785
534	2298.405874	3265.983735
535	2297.86511	3265.047623
536	2295.551956	3262.833929
537	2293.902865	3260.671558
538	2292.330134	3259.074153
539	2291.73214	3258.173469
540	2291.642519	3257.87392
541	2291.451079	3257.367185
542	2291.339907	3256.967968
543	2290.682607	3256.144491
544	2289.874452	3255.112165
545	2289.281462	3254.170823
546	2287.459638	3251.637902
547	2286.199193	3249.884208
548	2285.607506	3249.090232
549	2284.4122	3247.741595
550	2283.531877	3246.294962
551	2282.916173	3245.55444
552	2282.833612	3245.307657
553	2282.001063	3244.450576
554	2281.1482	3242.89395
555	2280.074624	3241.344264
556	2278.764643	3239.8501
557	2277.969723	3238.79337
558	2277.343682	3237.955242
559	2276.912531	3237.337505
560	2276.323922	3236.276358
561	2275.038868	3234.095443
562	2274.765545	3233.42815
563	2274.383497	3232.694161
564	2273.995865	3232.166351
565	2273.869391	3231.823984
566	2273.539483	3231.314984
567	2272.850387	3230.361328
568	2272.813124	3230.197703
569	2272.70615	3229.893036
570	2271.985687	3228.869531
571	2271.157846	3227.862386
572	2270.704815	3227.159182
573	2270.511977	3226.683772
574	2270.39794	3226.280133
575	2269.36083	3224.445351
576	2267.464011	3221.982991
577	2266.374306	3220.694404
578	2265.904109	3220.021521
579	2265.496407	3219.285981
580	2264.153901	3217.469571
581	2263.187299	3216.248403
582	2261.64196	3214.426811
583	2260.988615	3213.472848
584	2259.93062	3212.126843
585	2258.738823	3210.768828
586	2256.710998	3208.106718
587	2255.670814	3206.557705
588	2255.280487	3206.04895
589	2254.23145	3204.216424
590	2253.382815	3202.573013
591	2252.399193	3201.331586
592	2251.621355	3199.746525
593	2251.143216	3198.842702
594	2251.027923	3198.502083
595	2249.781614	3197.288238
596	2249.06074	3196.083719
597	2248.299297	3194.729145
598	2247.977617	3194.070984
599	2247.120155	3192.741496
600	2246.375162	3191.705036
601	2245.307379	3190.512492
602	2243.947763	3188.319265
603	2243.1737	3187.027292
604	2241.412804	3184.765883
605	2240.745816	3184.037896
606	2240.210068	3183.25549
607	2238.790879	3181.565498
608	2238.219866	3180.666859
609	2237.603705	3179.759618
610	2237.346086	3179.138272
611	2236.433133	3177.905328
612	2235.399256	3176.735583
613	2235.282739	3176.40035
614	2234.780025	3175.696176
615	2234.118145	3174.592923
616	2233.670503	3173.894413
617	2233.039266	3173.081001
618	2231.848944	3171.420085
619	2231.719792	3170.997672
620	2231.031124	3170.384077
621	2230.214454	3169.116868
622	2229.278595	3167.493497
623	2228.948702	3166.729498
624	2228.557053	3166.021204
625	2227.330679	3164.383729
626	2227.052785	3163.868502
627	2226.235219	3162.845514
628	2225.894325	3162.323274
629	2224.818093	3160.723824
630	2223.96244	3159.563788
631	2223.879054	3159.223738
632	2223.166803	3158.115929
633	2221.788688	3156.439914
634	2220.913181	3154.990453
635	2220.084578	3153.596405
636	2219.469268	3152.767889
637	2218.921991	3152.008128
638	2218.4996	3151.353515
639	2217.966874	3150.425231
640	2217.096849	3149.140348
641	2215.836526	3147.816091
642	2214.550618	3145.796345
643	2213.040366	3143.521386
644	2212.623542	3142.641163
645	2212.34522	3142.058565
646	2212.079745	3141.45044
647	2211.527852	3140.635749
648	2210.358413	3139.290791
649	2208.580893	3137.298863
650	2206.898292	3135.117103
651	2206.166367	3134.203843
652	2205.957926	3133.871716
653	2204.797027	3132.416545
654	2203.818888	3131.104981
655	2203.462682	3130.601057
656	2203.369195	3130.374764
657	2202.648327	3129.350198
658	2202.174296	3128.526696
659	2201.813133	3127.971714
660	2200.93272	3126.972459
661	2200.604092	3126.452368
662	2200.267277	3125.735422
663	2200.203	3125.509018
664	2199.377876	3124.488281
665	2199.057566	3123.979583
666	2198.498002	3123.101921
667	2198.044022	3122.518169
668	2196.791082	3120.408718
669	2195.77962	3118.958478
670	2195.537062	3118.419829
671	2194.377912	3116.307013
672	2193.904669	3115.596697
673	2193.530156	3114.942511
674	2192.870527	3114.114372
675	2192.21331	3113.162849
676	2191.632988	3112.41764
677	2190.787262	3110.83936
678	2189.920905	3109.748777
679	2189.604852	3109.313503
680	2189.328928	3108.931537
681	2187.733961	3107.097559
682	2186.946094	3105.760743
683	2186.543395	3105.093735
684	2185.740857	3104.107158
685	2184.961153	3103.114837
686	2183.689099	3101.405314
687	2183.203786	3100.450777
688	2182.878715	3100.006623
689	2182.056592	3098.998872
690	2181.434531	3098.195083
691	2180.432236	3096.97632
692	2179.541469	3096.109238
693	2179.173048	3095.495636
694	2178.454915	3094.400565
695	2177.458013	3092.998521
696	2176.920116	3092.290159
697	2176.393904	3091.527943
698	2175.585709	3090.358797
699	2174.469542	3089.133162
700	2173.915094	3088.110427
701	2172.965096	3087.078028
702	2172.41424	3086.233402
703	2172.239746	3085.815038
704	2171.560733	3084.945093
705	2170.744967	3083.819348
706	2170.18545	3082.99425
707	2168.944693	3081.247791
708	2167.917736	3080.023254
709	2166.86777	3078.564046
710	2166.452999	3077.900751
711	2165.961499	3077.225994
712	2165.625233	3076.786451
713	2164.951826	3075.880394
714	2164.612838	3075.251898
715	2163.956971	3074.111107
716	2163.338978	3073.310301
717	2162.079078	3071.850188
718	2161.800635	3071.29605
719	2161.497604	3070.83994
720	2160.355873	3069.41435
721	2160.154326	3068.96146
722	2159.529536	3068.251483
723	2158.894149	3067.389623
724	2157.77977	3066.117916
725	2157.524565	3065.654969
726	2156.851242	3064.273684
727	2156.67721	3063.880536
728	2155.969005	3062.984758
729	2155.708169	3062.597745
730	2154.950855	3061.65426
731	2154.488684	3060.929479
732	2153.511325	3059.653944
733	2152.887062	3058.445686
734	2152.382962	3057.658746
735	2151.857452	3056.662437
736	2151.52289	3056.05856
737	2150.85296	3055.19926
738	2150.458961	3054.544201
739	2149.611446	3053.652597
740	2149.264349	3053.233941
741	2148.556675	3052.428412
742	2148.478654	3052.164217
743	2147.763184	3051.236778
744	2146.623421	3050.152393
745	2145.892247	3048.72641
746	2145.674613	3048.380997
747	2145.427484	3048.052963
748	2145.168736	3047.61538
749	2144.476956	3046.434358
750	2143.767655	3045.561429
751	2142.769686	3043.295909
752	2141.960621	3042.212951
753	2141.841196	3041.85845
754	2140.980773	3040.515231
755	2140.070741	3039.409295
756	2139.966257	3039.174826
757	2139.770637	3038.828067
758	2139.389616	3038.190357
759	2138.870787	3037.346126
760	2138.400337	3036.497928
761	2137.987534	3035.764814
762	2137.866205	3035.428941
763	2137.125375	3034.066189
764	2136.822367	3033.478735
765	2136.598951	3033.120053
766	2135.942676	3032.152777
767	2135.209215	3031.339279
768	2134.040582	3029.640486
769	2133.620449	3029.132185
770	2132.935089	3028.182207
771	2132.294878	3027.228381
772	2131.576611	3026.355125
773	2131.354515	3025.835379
774	2130.258064	3024.352311
775	2130.231568	3024.194825
776	2129.766445	3023.372562
777	2129.254005	3022.719685
778	2128.83199	3022.054536
779	2128.120091	3021.036674
780	2127.59496	3020.215336
781	2126.820907	3019.20029
782	2126.14155	3017.819901
783	2125.761804	3017.39177
784	2125.550267	3017.07351
785	2124.95764	3016.340998
786	2124.167038	3015.211648
787	2123.114513	3013.872194
788	2122.619822	3013.223422
789	2121.972832	3012.438901
790	2121.052319	3011.389647
791	2120.493903	3010.225849
792	2119.928597	3009.590376
793	2118.880887	3007.552132
794	2118.433561	3006.902198
795	2117.454541	3005.746811
796	2116.51878	3004.592498
797	2115.826874	3003.50566
798	2115.325597	3002.660959
799	2115.207823	3002.355735
800	2114.848836	3001.72492
801	2114.633152	3001.375848
802	2113.609638	3000.193293
803	2113.36928	2999.86702
804	2112.893286	2999.215853
805	2112.671331	2998.770874
806	2111.972364	2997.916149
807	2111.440734	2997.075201
808	2110.39227	2995.963911
809	2110.240002	2995.721309
810	2109.445272	2994.264087
811	2109.004996	2993.606093
812	2107.676717	2992.223601
813	2106.479017	2990.349693
814	2106.132111	2989.875972
815	2105.69998	2989.286454
816	2104.688741	2987.843173
817	2104.387574	2987.254821
818	2104.130737	2986.875167
819	2103.468382	2985.695634
820	2102.938929	2984.817326
821	2101.812404	2983.656525
822	2100.958549	2982.549728
823	2100.320022	2981.620677
824	2099.849163	2980.808578
825	2099.418029	2980.295458
826	2098.8725	2979.625158
827	2098.372284	2978.891563
828	2097.660625	2977.572372
829	2096.951704	2976.498316
830	2096.348719	2975.73485
831	2095.495691	2974.768457
832	2095.003912	2973.674602
833	2094.277238	2972.66345
834	2093.777824	2972.013077
835	2093.090978	2971.331838
836	2092.235099	2970.50033
837	2091.795215	2969.937154
838	2091.748554	2969.777214
839	2091.452816	2969.380487
840	2090.805722	2968.439397
841	2090.617942	2968.145992
842	2090.181458	2967.731054
843	2089.763676	2967.095349
844	2089.563816	2966.820239
845	2088.557904	2965.683894
846	2088.039611	2964.683345
847	2087.29452	2963.875214
848	2086.976242	2963.319105
849	2086.728296	2962.864413
850	2086.492835	2962.361929
851	2086.432478	2962.168602
852	2085.908458	2961.414681
853	2085.743891	2961.147698
854	2085.027166	2960.071688
855	2084.367131	2959.354448
856	2084.029466	2958.766739
857	2083.432046	2957.717927
858	2083.0601	2957.27043
859	2081.99859	2956.166088
860	2081.763681	2955.737317
861	2081.303296	2955.079545
862	2081.083474	2954.634582
863	2081.000784	2954.436917
864	2080.322287	2953.155968
865	2079.836633	2952.443067
866	2079.12982	2951.300915
867	2078.827524	2950.732318
868	2078.444612	2949.901636
869	2076.998194	2948.095105
870	2076.122059	2946.666153
871	2075.605128	2945.860413
872	2074.669115	2944.690022
873	2074.271479	2943.964894
874	2074.112478	2943.581533
875	2073.682821	2942.859259
876	2072.514079	2941.475661
877	2071.230663	2939.793379
878	2071.150374	2939.568849
879	2070.823535	2939.194512
880	2070.569081	2938.777143
881	2069.817708	2937.663649
882	2069.606478	2937.306153
883	2068.930821	2936.426179
884	2068.56698	2935.694461
885	2068.191927	2935.020537
886	2067.609332	2934.076615
887	2066.348801	2932.404434
888	2065.863335	2931.755856
889	2064.53217	2929.851251
890	2063.486897	2928.634355
891	2063.205349	2928.097721
892	2062.698342	2927.384283
893	2061.978759	2926.60435
894	2061.250338	2925.758194
895	2060.969592	2925.385141
896	2059.820584	2923.940886
897	2059.23175	2923.011219
898	2058.746426	2922.440504
899	2058.353471	2921.89006
900	2058.253059	2921.679723
901	2057.875192	2921.156173
902	2057.805484	2921.004361
903	2057.391199	2920.396505
904	2057.324778	2920.25006
905	2057.271702	2920.148564
906	2056.219615	2918.399901
907	2056.033667	2918.109808
908	2055.718034	2917.67084
909	2055.501047	2917.385472
910	2055.176371	2916.917428
911	2055.011387	2916.597843
912	2054.543794	2915.976402
913	2053.860359	2915.169525
914	2053.462834	2914.486264
915	2052.890435	2913.60966
916	2051.904517	2912.222742
917	2051.299935	2911.442172
918	2050.588652	2910.441442
919	2050.025227	2909.680448
920	2049.081642	2908.53097
921	2048.632941	2907.731731
922	2048.334384	2907.111975
923	2048.099078	2906.73906
924	2047.530559	2906.032793
925	2047.193917	2905.538318
926	2047.132016	2905.411232
927	2046.735517	2904.683944
928	2046.491409	2904.185226
929	2046.437148	2904.051675
930	2045.945462	2903.365603
931	2045.102766	2902.323599
932	2044.349725	2901.284872
933	2044.115314	2900.827698
934	2044.046957	2900.711603
935	2043.978674	2900.582259
936	2043.32938	2899.783285
937	2043.115906	2899.469623
938	2043.056883	2899.362133
939	2042.670733	2898.743101
940	2042.424594	2898.340113
941	2041.922103	2897.773066
942	2041.86689	2897.622734
943	2041.481462	2896.973749
944	2041.148531	2896.536271
945	2040.442203	2895.64406
946	2040.053476	2895.064502
947	2039.857523	2894.798281
948	2039.830378	2894.68736
949	2039.578841	2894.264283
950	2038.946458	2893.196961
951	2038.126389	2892.046698
952	2037.770435	2891.484967
953	2037.525993	2891.170595
954	2037.024293	2890.618205
955	2036.523498	2889.881401
956	2035.863935	2888.516887
957	2035.554202	2887.987148
958	2035.112819	2887.272613
959	2034.665071	2886.625491
960	2034.517277	2886.339439
961	2033.964564	2885.592184
962	2033.739341	2885.218196
963	2032.898658	2884.018802
964	2032.399488	2883.333905
965	2032.25366	2882.958484
966	2032.002246	2882.444509
967	2031.49148	2881.749483
968	2030.973375	2880.845177
969	2030.269331	2880.129714
970	2030.009243	2879.679635
971	2029.761278	2879.235185
972	2029.17546	2878.159694
973	2028.934225	2877.833166
974	2028.711849	2877.350447
975	2028.426855	2876.910015
976	2027.884927	2876.412337
977	2027.146354	2875.435807
978	2026.514492	2874.632108
979	2025.773911	2873.289311
980	2025.265758	2872.71349
981	2024.122651	2871.216872
982	2023.875631	2870.855294
983	2023.657908	2870.51096
984	2023.245746	2869.967504
985	2022.854707	2869.454075
986	2022.713944	2869.178668
987	2022.489619	2868.861735
988	2022.30123	2868.538103
989	2022.04681	2868.151514
990	2021.151666	2866.222221
991	2019.97843	2864.487172
992	2019.661272	2864.028327
993	2019.077625	2862.848402
994	2018.131692	2861.421254
995	2017.278326	2860.131045
996	2016.609082	2859.056817
997	2016.457289	2858.703504
