iter	MAPE	RMSE
0	0.06440001212	0.7769628886
1	0.06207539346	0.7517304165
2	0.05982061174	0.7269535557
3	0.05768519131	0.7036662535
4	0.05580164551	0.6827775944
5	0.05394504112	0.662104992
6	0.05226186432	0.6434941736
7	0.05066439394	0.625639148
8	0.04920032874	0.609751922
9	0.04780021141	0.5940403248
10	0.04640374562	0.5784734114
11	0.04526445429	0.5653184076
12	0.04405249347	0.5520059428
13	0.04294256752	0.5397095499
14	0.04192930555	0.5285080775
15	0.04097369703	0.5177948707
16	0.04003521037	0.5072906182
17	0.03916111397	0.4975617219
18	0.0383448259	0.4885202172
19	0.03756221881	0.4794547113
20	0.03676437935	0.4707818001
21	0.03612991682	0.4633337546
22	0.03553084953	0.4566177063
23	0.0348930565	0.4494044902
24	0.03428538542	0.4424843202
25	0.03377436936	0.43654976
26	0.03326334991	0.4305969709
27	0.03281179618	0.4253694699
28	0.03236384323	0.4202087062
29	0.03195074013	0.4154036096
30	0.03154889152	0.4107601241
31	0.03125823877	0.4071315284
32	0.03093742235	0.403146344
33	0.03055303188	0.3989319995
34	0.03023307268	0.3951866543
35	0.02994637865	0.3917176569
36	0.02966201527	0.3882642207
37	0.02943840224	0.3851948316
38	0.02917986212	0.38204687
39	0.0289006251	0.3789438776
40	0.02872320134	0.3763994557
41	0.02842943976	0.3731657919
42	0.02814350706	0.3697311176
43	0.02787751063	0.3667065631
44	0.02769143872	0.3645396203
45	0.02749875602	0.3620595777
46	0.02729259185	0.3597821389
47	0.02703837307	0.3571182643
48	0.02686679229	0.3551949116
49	0.0267203778	0.3535179106
50	0.02652870794	0.3513966961
51	0.02636116955	0.3494702097
52	0.02621060436	0.3477446921
53	0.02604709761	0.3460137399
54	0.02591139705	0.3442424822
55	0.02579074346	0.342717828
56	0.02565517811	0.3411774947
57	0.02554252001	0.3397041949
58	0.02541737661	0.3382555032
59	0.02532400083	0.3369927663
60	0.02523487915	0.3357911119
61	0.02515709714	0.3348434075
62	0.02509056322	0.3339659479
63	0.02500595589	0.3329152902
64	0.0249400321	0.3319363601
65	0.02488419188	0.3310802845
66	0.02480816563	0.3300408734
67	0.02474734423	0.329229958
68	0.02469454672	0.3285630486
69	0.02463240552	0.3276945864
70	0.02454482192	0.3267074947
71	0.02448864062	0.3259042443
72	0.02442393778	0.3252045097
73	0.02433973086	0.3242608207
74	0.02427959209	0.3235763188
75	0.02421439052	0.3228153623
76	0.02416159927	0.3221474958
77	0.02410945191	0.3215351057
78	0.02404726733	0.320771195
79	0.02400624557	0.3202470967
80	0.02394823823	0.3195198496
